,Country Name,Country Code,Net-zero Target,Target Status,Detailed Plan,Reporting Mechanism,CO₂ Removal,GHG
114,Samoa,WSM,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",790000.0
115,Yemen,YEM,2050.0,Proposed / in discussion,Yes,Less than annual reporting,Not Specified,25260000.0
116,South Africa,ZAF,2050.0,Declaration / pledge,No,Less than annual reporting,Not Specified,562190000.0
117,Zambia,ZMB,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",91360000.0
118,Zimbabwe,ZWE,2030.0,Declaration / pledge,,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",117960000.0
119,Albania,ALB,2030.0,In policy document,Yes,Annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",8770000.0
120,Andorra,AND,2050.0,Declaration / pledge,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",630000.0
121,United Arab Emirates,ARE,2050.0,Declaration / pledge,Yes,Less than annual reporting,Yes (nature-based and CCS-based removals),243550000.0
122,Australia,AUS,2050.0,In policy document,Yes,Annual reporting,Yes (nature-based and CCS-based removals),608490000.0
123,Azerbaijan,AZE,2030.0,In policy document,No,Less than annual reporting,Not Specified,52890000.0
124,Burundi,BDI,2050.0,Proposed / in discussion,Yes,Annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",8040000.0
125,Bulgaria,BGR,2050.0,Proposed / in discussion,No,Less than annual reporting,,17480000.0
126,Bahrain,BHR,2060.0,Declaration / pledge,No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",54410000.0
127,Bosnia and Herzegovina,BIH,2050.0,Declaration / pledge,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",24500000.0
128,Belarus,BLR,2030.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",65330000.0
129,Bermuda,BMU,2035.0,In policy document,No,No reporting mechanism,,
130,Bolivia,BOL,,In policy document,No,Less than annual reporting,Not Specified,138720000.0
131,Brazil,BRA,2050.0,Declaration / pledge,No,Less than annual reporting,Not Specified,1451630000.0
132,Brunei Darussalam,BRN,2030.0,,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",9630000.0
133,Botswana,BWA,2030.0,In policy document,Yes,Less than annual reporting,Not Specified,52340000.0
134,Côte d'Ivoire,CIV,2030.0,Declaration / pledge,No,Less than annual reporting,Not Specified,51510000.0
135,Cameroon,CMR,2030.0,In policy document,,No reporting mechanism,Not Specified,124790000.0
136,Cuba,CUB,2030.0,In policy document,Yes,Less than annual reporting,Yes (unspecified),38190000.0
137,Cayman Islands,CYM,,,No,No reporting mechanism,,
138,Algeria,DZA,2030.0,In policy document,No,Less than annual reporting,,282230000.0
139,Egypt,EGY,2030.0,In policy document,Yes,Less than annual reporting,Not Specified,351960000.0
140,Georgia,GEO,1990.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",17640000.0
141,Ghana,GHA,2070.0,Declaration / pledge,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",12750000.0
142,Equatorial Guinea,GNQ,2050.0,In policy document,Yes,Less than annual reporting,Yes (nature-based and CCS-based removals),15240000.0
143,Guatemala,GTM,2030.0,In law,No,Less than annual reporting,Not Specified,35810000.0
144,Honduras,HND,2030.0,,Yes,Less than annual reporting,Not Specified,28140000.0
145,Indonesia,IDN,2060.0,Proposed / in discussion,Yes,Less than annual reporting,Yes (nature-based and CCS-based removals),1959710000.0
146,India,IND,2070.0,Declaration / pledge,No,Less than annual reporting,Not Specified,3363590000.0
147,"Iran, Islamic Republic of",IRN,2030.0,,No,No reporting mechanism,No,844140000.0
148,Iraq,IRQ,2030.0,In policy document,Yes,No reporting mechanism,"Yes (CCS-based removals e.g. BECCS, DACCS)",321310000.0
149,Israel,ISR,2050.0,Declaration / pledge,No,Annual reporting,Not Specified,87260000.0
150,Jordan,JOR,2030.0,In policy document,Yes,Annual reporting,Not Specified,36570000.0
151,Kazakhstan,KAZ,2060.0,Declaration / pledge,No,Less than annual reporting,Not Specified,271680000.0
152,Kenya,KEN,2030.0,In policy document,Yes,Less than annual reporting,No,73400000.0
153,Kyrgyzstan,KGZ,2050.0,In policy document,Yes,Less than annual reporting,No,13640000.0
154,Kuwait,KWT,2035.0,Proposed / in discussion,No,Less than annual reporting,Yes (nature-based and CCS-based removals),136690000.0
155,Libya,LBY,,,,,,126690000.0
156,Liechtenstein,LIE,2030.0,,No,Less than annual reporting,Not Specified,160000.0
157,Sri Lanka,LKA,2060.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",37900000.0
