,Country Name,Net-zero Target,GHG,Environmental Protection Expenditures (% of GDP),log_GHG
74,South Africa,2050.0,562190000.0,0.290738687284704,20.147350429014192
75,Zambia,2050.0,91360000.0,0.0804941949892679,18.330318303871973
76,Albania,2030.0,8770000.0,0.329456621918957,15.986847364348366
77,United Arab Emirates,2050.0,243550000.0,0.454426220382322,19.310832818216827
78,Australia,2050.0,608490000.0,0.894082941519164,20.22649103640308
79,Azerbaijan,2030.0,52890000.0,,17.78372484304216
80,Burundi,2050.0,8040000.0,,15.899939641155148
81,Bulgaria,2050.0,17480000.0,0.738482671295248,16.676567928191663
82,Bahrain,2060.0,54410000.0,0.0462822757600116,17.81205851846211
83,Belarus,2030.0,65330000.0,0.105991254839939,17.994961906816933
84,Bolivia,,138720000.0,,18.747968070996507
85,Brazil,2050.0,1451630000.0,0.502634713729232,21.095952899940006
86,Botswana,2030.0,52340000.0,,17.773271455066276
87,Ivory Coast,2030.0,51510000.0,,17.75728652154177
88,Algeria,2030.0,282230000.0,,19.458232899316013
89,Egypt,2030.0,351960000.0,,19.679028090741635
90,Georgia,1990.0,17640000.0,0.71816199204443,16.68567960854292
91,Equatorial Guinea,2050.0,15240000.0,,16.539434108222775
92,Guatemala,2030.0,35810000.0,0.354131043770784,17.393737741974615
93,Honduras,2030.0,28140000.0,0.104819085921315,17.152702609650518
94,Indonesia,2060.0,1959710000.0,0.274198840840458,21.396062340058123
95,Iran,2030.0,844140000.0,,20.55382891558145
96,Israel,2050.0,87260000.0,0.598559588350522,18.28440272565974
97,Jordan,2030.0,36570000.0,0.0167605322588121,17.414738790125565
98,Kazakhstan,2060.0,271680000.0,0.485088186823756,19.420135461087256
99,Kenya,2030.0,73400000.0,0.107548866620683,18.111434493584746
100,Kyrgyzstan,2050.0,13640000.0,,16.42851721037959
101,Kuwait,2035.0,136690000.0,,18.733226146128835
102,Moldova,2030.0,13500000.0,0.12735945844558,16.41820024340866
103,Macedonia,2030.0,11260000.0,,16.23676718067582
104,Mongolia,2030.0,59150000.0,0.491811870555658,17.89558714838867
105,Malaysia,2050.0,396110000.0,0.105512442227721,19.797202508423428
106,Netherlands,2050.0,173590000.0,1.4724501465451,18.97220675484473
107,Oman,2050.0,100280000.0,,18.423476831254366
108,Panama,2050.0,25300000.0,0.285662222972537,17.04631495369775
109,Philippines,2030.0,236790000.0,0.106282786868796,19.282684230352693
110,Poland,2030.0,320230000.0,0.5573202591035,19.58455004558097
111,"Palestinian Territory, Occupied",2040.0,,0.0081134800007994,
112,Qatar,2030.0,114760000.0,,18.558353549077438
113,Romania,2050.0,78360000.0,0.680148563477122,18.176824151040613
114,Russia,2060.0,1924820000.0,0.252412139586104,21.37809829382065
115,El Salvador,2030.0,13920000.0,0.168434074497376,16.448837212870547
116,San Marino,2030.0,,0.677633721314912,
117,Somalia,2050.0,42510000.0,,17.565249900334972
118,Republic of Serbia,2030.0,63270000.0,,17.962921841123066
119,Thailand,2065.0,437180000.0,0.069904608707031,19.89585556756613
120,Tunisia,2030.0,37810000.0,,17.448084175867116
121,Turkey,2053.0,459860000.0,0.280322594117217,19.946432653298128
122,United Republic of Tanzania,2050.0,154890000.0,,18.858225745523942
123,Ukraine,2060.0,221290000.0,0.216054242217782,19.214984616472048
124,Uzbekistan,2030.0,185390000.0,0.0402047415174871,19.037972272208776
