index,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
49,Mercedes_Benz_B180_Automatik,privat,Angebot,13500,test,bus,2012,automatik,109,b_klasse,150000,7,diesel,mercedes_benz,nein,04/04/2016 00:00,0,35576,05/04/2016 12:09
50,BMW_120i_Cabrio_mit_M_Paket,privat,Angebot,14800,control,cabrio,2008,manuell,170,1er,125000,4,benzin,bmw,,30/03/2016 00:00,0,48691,07/04/2016 00:17
51,Fiat_punto_5_tuerer__6_gang,privat,Angebot,2000,control,,2017,manuell,90,punto,150000,11,diesel,fiat,ja,07/03/2016 00:00,0,66115,07/03/2016 18:57
52,Verkaufe_meinen_kleinen_wegen_neu_Anschaffung,privat,Angebot,1400,control,,2016,manuell,55,andere,5000,1,,hyundai,,04/04/2016 00:00,0,34454,06/04/2016 12:45
53,Bmw_318_d_Sport_Edition_Facelift,privat,Angebot,7999,control,limousine,2008,automatik,143,3er,150000,12,diesel,bmw,,29/03/2016 00:00,0,71083,06/04/2016 04:45
54,Opel_signum_1.9_cdti,privat,Angebot,4700,control,kombi,2005,manuell,0,signum,150000,0,,opel,nein,17/03/2016 00:00,0,88433,04/04/2016 04:17
55,auto_opel_astra,privat,Angebot,550,test,kombi,1999,manuell,0,astra,150000,8,diesel,opel,ja,26/03/2016 00:00,0,56759,01/04/2016 23:17
56,BMW_435i_Sport_coupe,privat,Angebot,39600,test,coupe,2014,automatik,306,andere,30000,7,benzin,bmw,nein,21/03/2016 00:00,0,10435,03/04/2016 23:16
57,Smart_Cabrio_TÜV_bis_07/17,privat,Angebot,3000,control,cabrio,2006,automatik,61,fortwo,80000,1,benzin,smart,nein,22/03/2016 00:00,0,12055,22/03/2016 17:56
58,Seat_inca_1.9SDI___LKW_Zulassung___TÜV_NEU,privat,Angebot,2399,test,,2018,manuell,64,andere,125000,3,,seat,nein,10/03/2016 00:00,0,33397,25/03/2016 10:17
59,Volkswagen_Golf_1.6_Comfortline,privat,Angebot,1000,control,limousine,1998,manuell,101,golf,150000,10,benzin,volkswagen,nein,31/03/2016 00:00,0,39624,06/04/2016 03:15
60,TAUSCHE_BMW_E38_740i_g._SUV_/_GELÄNDEWAGEN_LESEN_LESEN,privat,Angebot,1,control,suv,1994,manuell,286,,150000,11,,sonstige_autos,,29/03/2016 00:00,0,53721,06/04/2016 01:44
61,Bmw_316i_compact.____200€,privat,Angebot,200,test,coupe,1995,manuell,102,3er,150000,4,benzin,bmw,,26/03/2016 00:00,0,23560,01/04/2016 20:46
62,Audi_A8_3.0_TDI_quattro,privat,Angebot,7499,test,limousine,2004,automatik,232,a8,150000,3,diesel,audi,ja,25/03/2016 00:00,0,71711,07/04/2016 01:44
63,Skoda_Fabia_1.2,privat,Angebot,5500,control,kleinwagen,2010,manuell,60,fabia,70000,4,benzin,skoda,nein,30/03/2016 00:00,0,57076,07/04/2016 03:44
64,Volkswagen_Jetta_1.9_TDI_DSG_DPF_Sportline,privat,Angebot,7000,test,limousine,2006,automatik,105,jetta,100000,10,diesel,volkswagen,nein,08/03/2016 00:00,0,6242,11/03/2016 17:16
